"Five3One","67","Exported on","20 de jan. de 2026"
" "," "," "
"Initial 1RM(kg)","Levantamento Terra","Agachamento","Supino","Desenvolvimento"
"","120.0","104.0","70.0","46.0"
" "," "," "
"Ciclo#","Semana","Lift","TM","Real","Data de conclusão","Notas","Avaliação","Série 1","Peso","Série 2","Peso","Série 3","Peso"
"1","1","Dead Lift","129.59999","0.0","2023-10-22"," ","","5","84.0","5","97.0","5","110.0"
"1","1","Squat","80.0","79.0","2023-10-26"," ","","5","52.0","5","60.0","5","68.0"
"1","1","Military Press","52.0","51.0","2023-10-30"," ","","5","34.0","5","40.0","5","44.0"
"1","2","Dead Lift","120.0","119.0","2023-11-03"," ","","3","84.0","3","96.0","3","108.0"
"1","1","Bench Press","70.0","70.0","2023-11-04"," ","","5","46.0","5","54.0","5","60.0"
"1","2","Squat","90.0","90.0","2023-11-06"," ","","3","64.0","3","72.0","3","82.0"
"1","2","Military Press","52.0","51.0","2023-11-09"," ","","3","36.0","3","42.0","3","46.0"
"1","3","Dead Lift","120.0","114.0","2023-11-11"," ","","5","90.0","3","102.0","1","114.0"
"1","2","Bench Press","70.0","68.0","2023-11-14"," ","","3","50.0","3","56.0","3","62.0"
"1","3","Squat","90.0","88.0","2023-11-15"," ","","5","68.0","3","78.0","1","88.0"
"1","3","Military Press","52.0","51.0","2023-11-17"," ","","5","40.0","3","46.0","1","50.0"
"1","3","Bench Press","70.0","68.0","2023-11-18"," ","","5","52.0","3","60.0","1","68.0"
"1","4","Dead Lift","120.0","84.0","2023-11-20"," ","","5","50.0","5","60.0","5","72.0"
"1","4","Bench Press","70.0","49.0","2023-11-22"," ","","5","30.0","5","36.0","5","42.0"
"1","4","Squat","90.0","65.0","2023-11-24"," ","","5","36.0","5","46.0","5","56.0"
"1","4","Military Press","52.0","37.0","2023-11-26"," ","","5","22.0","5","26.0","5","32.0"
"2","1","Dead Lift","124.0","124.0","2023-11-28"," ","","5","82.0","5","92.0","5","106.0"
"2","1","Bench Press","72.0","72.0","2023-11-29"," ","","5","48.0","5","56.0","5","62.0"
"2","1","Squat","94.0","93.0","2023-12-02"," ","","5","62.0","5","72.0","5","80.0"
"2","1","Military Press","54.0","54.0","2023-12-04"," ","","5","36.0","5","42.0","5","46.0"
"2","2","Dead Lift","124.0","123.0","2023-12-06"," ","","3","88.0","3","100.0","3","112.0"
"2","2","Bench Press","72.0","73.0","2023-12-08"," ","","3","50.0","3","58.0","3","66.0"
"2","2","Squat","94.0","95.0","2023-12-09"," ","","3","66.0","3","76.0","3","86.0"
"2","2","Military Press","54.0","55.0","2023-12-11"," ","","3","38.0","3","44.0","3","50.0"
"2","3","Dead Lift","124.0","118.0","2023-12-13"," ","","5","96.0","3","106.0","1","118.0"
"2","3","Bench Press","72.0","73.0","2023-12-15"," ","","5","56.0","3","62.0","2","68.0"
"2","3","Squat","94.0","89.0","2023-12-16"," ","","5","72.0","3","80.0","1","89.0"
"2","3","Military Press","54.0","55.0","2023-12-18"," ","","5","42.0","3","46.0","2","52.0"
"2","4","Dead Lift","124.0","89.0","2023-12-20"," ","","5","50.0","5","62.0","5","76.0"
"2","4","Bench Press","72.0","54.0","2023-12-22"," ","","5","30.0","5","36.0","5","46.0"
"2","4","Squat","94.0","65.0","2023-12-26"," ","","5","40.0","5","48.0","5","56.0"
"2","4","Military Press","54.0","37.0","2023-12-28"," ","","5","22.0","5","28.0","5","32.0"
"2","0","Dead Lift","128.0","0.0","2024-01-15","","","5","50.0","5","60.0","5","70.0"
"1","1","Dead Lift","110.0","112.0","2024-01-21"," ","","5","72.0","5","86.0","5","96.0"
"1","1","Bench Press","74.0","77.0","2024-01-23"," ","","5","48.0","5","56.0","5","66.0"
"1","1","Squat","98.0","100.0","2024-01-25"," ","","5","66.0","5","76.0","5","86.0"
"1","1","Military Press","50.0","54.0","2024-01-27"," ","","5","36.0","5","38.0","5","46.0"
"1","2","Dead Lift","110.0","110.0","2024-01-29"," ","","3","78.0","3","88.0","3","100.0"
"1","2","Bench Press","74.0","75.0","2024-02-03"," ","","3","56.0","3","60.0","3","68.0"
"1","2","Squat","98.0","97.0","2024-02-05"," ","","3","70.0","3","78.0","3","88.0"
"1","2","Military Press","50.0","51.0","2024-02-06"," ","","3","36.0","3","40.0","3","46.0"
"1","3","Dead Lift","110.0","113.0","2024-02-08"," ","","5","86.0","3","96.0","2","106.0"
"1","3","Bench Press","74.0","77.0","2024-02-10"," ","","5","56.0","3","66.0","3","70.0"
"1","3","Squat","98.0","102.0","2024-02-13"," ","","5","76.0","3","86.0","2","96.0"
"1","3","Military Press","50.0","53.0","2024-02-16"," ","","5","38.0","3","48.0","2","50.0"
"1","4","Dead Lift","110.0","77.0","2024-02-17"," ","","5","46.0","5","56.0","5","66.0"
"1","4","Bench Press","74.0","56.0","2024-02-20"," ","","5","30.0","5","38.0","5","48.0"
"1","4","Squat","98.0","70.0","2024-02-22"," ","","5","40.0","5","50.0","5","60.0"
"1","4","Military Press","50.0","35.0","2024-02-23"," ","","5","20.0","5","26.0","5","30.0"
"2","1","Dead Lift","114.0","123.0","2024-02-27"," ","","5","76.0","5","86.0","7","100.0"
"2","1","Bench Press","76.0","82.0","2024-02-29"," ","","5","50.0","5","60.0","5","70.0"
"2","1","Squat","102.0","103.0","2024-03-02"," ","","5","66.0","5","78.0","5","88.0"
"2","1","Military Press","52.0","54.0","2024-03-05"," ","","5","36.0","5","40.0","5","46.0"
"2","2","Dead Lift","114.0","117.0","2024-03-08"," ","","3","80.0","3","90.0","3","106.0"
"2","2","Bench Press","76.0","82.0","2024-03-10"," ","","3","60.0","3","60.0","5","70.0"
"2","2","Squat","102.0","106.0","2024-03-11"," ","","3","76.0","3","86.0","3","96.0"
"2","2","Military Press","52.0","55.0","2024-03-13"," ","","3","36.0","3","42.0","3","50.0"
"2","3","Dead Lift","114.0","126.0","2024-03-14"," ","","5","86.0","3","97.0","5","108.0"
"2","3","Bench Press","76.0","91.0","2024-03-17"," ","","5","60.0","3","66.0","8","72.0"
"2","3","Squat","102.0","114.0","2024-03-18"," ","","5","78.0","3","88.0","5","98.0"
"2","3","Military Press","52.0","60.0","2024-03-23"," ","","5","40.0","3","46.0","6","50.0"
"2","4","Dead Lift","114.0","82.0","2024-03-28"," ","","5","50.0","5","60.0","5","70.0"
"2","4","Bench Press","76.0","58.0","2024-03-30"," ","","5","30.0","5","40.0","5","50.0"
"2","4","Squat","102.0","70.0","2024-04-01"," ","","5","40.0","5","50.0","5","60.0"
"2","4","Military Press","52.0","35.0","2024-04-02"," ","","5","20.0","5","26.0","5","30.0"
"3","1","Dead Lift","118.0","127.0","2024-04-04"," ","","5","80.0","5","90.0","8","100.0"
"3","1","Bench Press","78.0","88.0","2024-04-06"," ","","5","50.0","5","60.0","9","68.0"
"3","1","Squat","106.0","105.0","2024-04-08"," ","","5","70.0","5","80.0","5","90.0"
"3","1","Military Press","54.0","55.0","2024-04-10"," ","","5","36.0","5","40.0","6","46.0"
"3","2","Dead Lift","118.0","141.0","2024-04-12"," ","","3","86.0","3","96.0","10","106.0"
"3","2","Bench Press","78.0","98.0","2024-04-14"," ","","3","56.0","3","66.0","12","70.0"
"3","2","Squat","106.0","106.0","2024-04-16"," ","","3","76.0","3","86.0","3","96.0"
"3","2","Military Press","54.0","58.0","2024-04-18"," ","","3","38.0","3","46.0","5","50.0"
"3","3","Dead Lift","118.0","143.0","2024-04-20"," ","","5","90.0","3","100.0","7","116.0"
"3","3","Bench Press","78.0","99.0","2024-04-22"," ","","5","60.0","3","66.0","9","76.0"
"3","3","Squat","106.0","117.0","2024-04-28"," ","","5","80.0","3","90.0","5","100.0"
"3","3","Military Press","54.0","65.0","2024-05-01"," ","","5","40.0","3","46.0","5","56.0"
"3","4","Dead Lift","118.0","82.0","2024-05-04"," ","","5","50.0","5","60.0","5","70.0"
"3","4","Bench Press","78.0","58.0","2024-05-07"," ","","5","30.0","5","40.0","5","50.0"
"3","4","Squat","106.0","77.0","2024-05-20"," ","","5","40.0","5","56.0","5","66.0"
"3","4","Military Press","54.0","42.0","2024-05-22"," ","","5","20.0","5","26.0","5","36.0"
"4","1","Dead Lift","122.0","124.0","2024-05-24"," ","","5","80.0","5","90.0","5","106.0"
"4","1","Bench Press","80.0","82.0","2024-05-26"," ","","5","50.0","5","60.0","5","70.0"
"4","1","Squat","110.0","112.0","2024-05-28"," ","","5","70.0","5","86.0","5","96.0"
"4","1","Military Press","56.0","56.0","2024-05-30"," ","","5","38.0","5","40.0","5","48.0"
"4","2","Bench Press","80.0","89.0","2024-06-03"," ","","3","56.0","3","66.0","5","76.0"
"4","2","Squat","110.0","110.0","2024-06-05"," ","","3","78.0","3","88.0","3","100.0"
"4","2","Military Press","56.0","55.0","2024-06-07"," ","","3","40.0","3","48.0","3","50.0"
"4","2","Dead Lift","122.0","121.0","2024-06-09"," ","","3","86.0","3","98.0","3","110.0"
"4","3","Bench Press","80.0","94.0","2024-06-14"," ","","5","60.0","3","68.0","6","78.0"
"4","3","Squat","110.0","117.0","2024-06-16"," ","","5","86.0","3","96.0","3","106.0"
"4","3","Military Press","56.0","62.0","2024-06-18"," ","","5","40.0","3","48.0","3","56.0"
"4","3","Dead Lift","122.0","147.0","2024-06-21"," ","","5","90.0","3","106.0","8","116.0"
"4","4","Dead Lift","122.0","0.0","2024-06-21"," ","","5","49.0","5","61.0","5","73.0"
"4","4","Bench Press","80.0","0.0","2024-06-21"," ","","5","32.0","5","40.0","5","48.0"
"4","4","Squat","110.0","0.0","2024-06-21"," ","","5","44.0","5","55.0","5","66.0"
"4","4","Military Press","56.0","0.0","2024-06-21"," ","","5","22.0","5","28.0","5","34.0"
"5","1","Bench Press","82.0","86.0","2024-06-24"," ","","5","56.0","5","66.0","7","70.0"
"5","1","Squat","114.0","118.0","2024-06-25"," ","","5","76.0","5","86.0","6","98.0"
"5","1","Military Press","58.0","58.0","2024-06-27"," ","","5","38.0","5","46.0","5","50.0"
"5","1","Dead Lift","126.0","126.0","2024-06-28"," ","","5","86.0","5","96.0","5","108.0"
"5","2","Bench Press","82.0","89.0","2024-06-30"," ","","3","56.0","3","66.0","5","76.0"
"5","2","Squat","114.0","120.0","2024-07-02"," ","","3","80.0","3","90.0","4","106.0"
"5","2","Military Press","58.0","62.0","2024-07-04"," ","","3","40.0","3","46.0","3","56.0"
"5","2","Dead Lift","126.0","151.0","2024-07-05"," ","","3","88.0","3","100.0","9","116.0"
"5","3","Bench Press","82.0","101.0","2024-07-08"," ","","5","68.0","3","70.0","9","78.0"
"5","3","Squat","114.0","119.0","2024-07-11"," ","","5","86.0","3","98.0","3","108.0"
"5","3","Military Press","58.0","67.0","2024-07-13"," ","","5","46.0","3","50.0","6","56.0"
